ddyg,dosage_and_administration,drug_properties,flavor_and_meridian_tropism,functions_of_curing,latin,medicinal_parts,name,nmedicinal_partsame,other_name,pinyin,plant,process,production_place,taboos,type_
《神农本草经》,内服：煎汤，6～12g；或入散剂。外用：适量，熬膏或制成油剂涂敷。,新疆紫草软紫草:呈不规则的长圆柱形，多扭曲，长7～20cm，直径1～2.5cm。表面紫红色或紫褐色，皮部疏松，呈条形片状，常10余层重叠，易剥落。顶端有的可见分歧的茎残基。体轻，质松软，易折断，断面不整齐，木部较小，黄白色或黄色。气特异，味微苦、涩。紫草硬紫草：呈圆锥形，扭曲，有分枝，长7～14cm，直径1～2cm。表面紫红色或紫黑色，粗糙有纵纹，皮部薄，易剥落。质硬而脆，易折断，断面皮部深紫色，木部较大，灰黄色。,寒；甘、咸；归心、肝经,凉血，活血，解毒透疹。用于血热毒盛，斑疹紫黑，麻疹不透，疮疡，湿疹，水火烫伤。,Radix Arnebiae,根,紫草,根,紫草茸、山紫草、紫丹、紫草根、红石根,ZI CAO,,春、秋二季采挖。除去泥沙，干燥。,新疆、西藏、甘肃黑龙江、吉林、辽宁、河北、河南、广西,胃肠虚寒便溏者禁服。,清热药
《神农本草经》,内服：煎汤，6～12g（治疟疾20～40g，鲜品加倍），不宜久煎；或水浸绞汁饮；或入丸、散。外用：适量，研末调敷，或鲜品捣敷，或煎水洗。,本品茎呈圆柱形，上部多分枝，长30～80cm，直径0.2～0.6cm；表面黄绿色或棕黄色，具纵棱线；质略硬，易折断，断面中部有髓。叶互生，暗绿色或棕绿色，卷缩易碎，完整者展平后为三回羽状深裂，裂片及小裂片矩圆形或长椭圆形，两面被短毛。气香特异，味微苦。,寒；苦、辛；归肝、胆经,"清热解暑，除蒸，截疟。用于暑邪发热，阴虚发热,夜热早凉，骨蒸劳热，疟疾寒热，湿热黄疽。",Herba Artemisiae Annuae,全草,青蒿,全草,蒿、草蒿、黑蒿、野兰蒿,QING HAO,,秋季花盛开时采割。除去老茎，阴干。,全国各地均产,脾胃虚寒者慎服。,清热药
《神农本草经》,内服：煎汤，6～15g；或入丸、散。外用：适量，研末贴，或用鲜品捣烂敷。,本品根茎粗短，有结节，多弯曲。上面有圆形的茎痕，下面及两侧簇生多数细长的根，根长10～25cm，直径0.1～0.2cm。表面棕黄色。质脆，易折断，断面皮部黄白色，木部黄色。气微，味微苦。,寒；苦、咸；归胃、肝、肾经,清热凉血，利尿通淋，解毒疗疮。用于温邪伤营发热，阴虚发热，骨蒸劳热，产后血虚发热，热淋，血淋，痈疽肿毒。,Radix  et Rhizoma Cynanchi Atrati,根及根茎,白薇,根及根茎,芒草、白微、龙胆白薇,BAI WEI,,春、秋二季采挖。洗净，干燥。,全国南北各地均产,血虚无热、中寒食少便溏者慎服，汗多亡阳者禁服。,清热药
《神农本草经》,内服：煎汤，9～15g；或入丸、散。外用：适量，煎水含漱、淋洗；或研末撒、调敷。,本品呈筒状或槽状，长3～10cm，宽0.5～1.5cm，厚0.1～0.3cm。外表面灰黄色至棕黄色，粗糙，有不规则纵裂纹，易成鳞片状剥落。内表面黄白色至灰黄色，较平坦，有细纵纹。体轻，质脆，易断，断面不平坦，外层黄棕色，内层灰白色。气微，味微甘而后苦。,寒；甘；归肺、肝、肾经,凉血除蒸，清肺降火。用于阴虚潮热，骨蒸盗汗，肺热咳嗽，咯血，衄血，内热消渴。,Cortex Lycii,根皮,地骨皮,根皮,杞根、地骨、枸杞根、枸杞根皮、红榴根皮,DI GU PI,,春初或秋采挖根部。洗净，剥取根皮，晒干。,全国南北各地均产,脾胃虚寒者慎服。,清热药
《神农本草经》,内服：煎汤，6～10g；或入丸、散。,本品呈类圆柱形，偶有分枝，长15～40cm，直径0.5～2.5cm。表面浅棕黄色至浅棕色，有扭曲的纵皱纹及支根痕，多具孔穴状或盘状凹陷，习称“砂眼”，从砂眼处折断可见棕色裂隙中有细砂散出，根头部略膨大，有密集的呈疣状突起的芽苞、茎或根茎的残基，习称“珍珠盘”。质硬而脆，易折断，断面不平坦，较疏松，有裂隙，皮部甚薄，木部有黄、白色相间的放射状纹理。气微，味甘。栽培品有分枝，下部多扭曲，直径0.6～1.2cm。表面浅棕黄色或浅黄棕色，纵皱纹细腻明显，细支根痕多呈点状凹陷。根头部有多数疣状突起。几无砂眼。折断面质地较紧密，几无裂隙，略显粉性，木部放射状纹理不甚明显。味微甜。,微寒；甘；归肝、胃经,清虚热，除疳热。用于阴虚发热，骨蒸劳热，小儿疳热。,Radix Stellariae,根,银柴胡,根,银胡、山菜根、牛肚根、沙参儿、白根子,YIN CHAI HU,,春、夏间植株萌发或秋后茎叶枯萎时采挖。除去残茎、须根及泥沙，晒干。,全国西北及内蒙各地均产,外感风寒及血虚无热者慎服。,清热药
《神农本草经》,内服：煎汤，6～12g；或入丸、散。外用：适量，研末调敷，或浸汁点眼。,本品呈圆柱形，略弯曲，偶有分枝，长3～12cm，直径0.3～lcm。表面灰棕色至暗棕色，粗糙，有较密的环状节，具稍隆起的芽痕或根痕，上端密被暗棕色鳞片状的叶柄残基。体轻，质硬而脆，易折断，断面略平坦，淡棕色至暗棕色，木部有4～10个类白色点状维管束排列成环。气微，味极苦。,寒；苦；归肝、胃、大肠经,清湿热，除骨蒸，清疳热。用于湿热泻痢，黄疽，痔疾，骨蒸潮热，小儿疳热。,Rhizoma Picrorhizae,根茎,胡黄连,根茎,胡连、割孤露泽,HU HUANG LIAN,,秋季采挖。除去除去须根及泥沙，晒干。,云南、西藏,脾胃虚弱者慎服。,清热药
《神农本草经》,内服：研末，10～15g，用药汁或开水冲服；或入丸剂。外用：适量，研末敷，或化水点眼。,本品为棱柱状、长方形或不规则块状及粒状。无色透明或类白色半透明。质脆，易碎，断面呈玻璃样光泽。无臭，味咸。,寒；苦、咸；归胃、大肠经,泻热通便，润燥软坚，清火消肿。用于实热便秘，大便燥结，积滞腹痛，肠痈肿痛。,Natrii Sulfas,结晶体,芒硝,结晶体,盆消、芒消,MANG XIAO,,全年均可采集提炼，以秋冬两季为好。将天然产不纯芒硝加水溶解，滤过，滤液浓缩，放冷，析出结晶。,河北、河南、山东,脾胃虚寒及孕妇禁用。不宜与三棱同用。,泻下药
《神农本草经》,内服：煎汤，3～6g，后下；或泡茶；或研末，1.5～3g。,呈长卵形或卵状披针形，长1.5～5cm，宽0.4～2cm，全缘，叶端急尖，叶基稍不对称。上表面黄绿色，下表面浅黄绿色，无毛或近无毛，叶脉稍隆起。革质。气微弱而特异，味微苦，稍有黏性。,寒；甘、苦；归大肠经,泻热行滞，通便，利水。用于热结积滞，便秘腹痛，水肿胀满。,Folium Sennae,叶,番泻叶,叶,泻叶、泡竹叶,FAN XIE YE,,狭叶番泻在开花前摘取叶；尖叶番泻在果实成熟，剪下枝条，摘取叶片。阴干或晒干。,埃及、广东、广西,体虚、孕妇、经期及哺乳期禁服。用量过大，易致腹痛、恶心呕吐。,泻下药
《神农本草经》,内服：研末入胶囊，0.5～1.5g；或入丸、散；不入汤剂。外用：适量，研末敷。,呈不规则块状，常破裂为多角形，大小不一。表面呈暗红褐色或深褐色，质硬，不易破碎，断面粗糙或显麻纹。富吸湿性。有特殊臭气，味极苦。,寒；苦；归肝、大肠经,清肝热，通便。用于便秘，小儿疳积，惊风；外治湿癣,Aloe,叶汁经浓缩后干燥物,芦荟,叶汁经浓缩后干燥物,卢会、奴会、劳伟,LU HUI,,全年可采。割取叶片，收集其流出的液汁，置锅内熬成稠膏，放入容器，冷却凝固。,广东、广西、福建,脾胃虚寒、食少便溏及孕妇禁用。,泻下药
《神农本草经》,内服：煎汤，9～15g；或入丸、散。外用：适量，捣敷，或煎水洗。,本品呈卵圆形，长4～5.5mm，直径2.5～4mm。表面灰绿色或灰黄色，有微细的白色或棕色网纹，两边有棱，顶端略尖，基部有1圆形果梗痕。果皮薄而脆，易破碎。种皮绿色，子叶2，乳白色，富油性。气微，味淡。,平；甘；归肺、胃、大肠经,润肠通便。用于血虚津亏，肠燥便秘。,Fructus Cannabis,成熟种子,火麻仁,成熟种子,麻子、麻子仁、大麻子、大麻仁、火麻子,HUO MA REN,,秋季果实成熟时采收。除去杂质，晒干。,我国各地均产,脾肾不足之便溏、阳痿、遗精、带下慎服。,清热药
《神农本草经》,内服：煎汤，3～10g；或入丸、散。,"小李仁:呈卵形，长5～8mm，直径3～5mm。表面黄白色或浅棕色，一端尖，另端钝圆，尖端一侧有线形种脐，圆端中央有深色合点，自合点处向上具多条纵向维管束脉纹。种皮薄，子叶2，乳白色,富油性。气微，味微苦。大李仁:长6～10mm，直径5～7mm。表面黄棕色。",平；辛、苦、甘；归脾、大肠、小肠经,润燥滑肠，下气，利水。用于津枯肠燥，食积气滞，腹胀便秘，水肿，脚气，小便不利。,Semen Pruni,种子,郁李仁,种子,李仁、郁李,YU LI REN,,夏、秋二季采收成熟果实。除去果肉及核壳，取出种子，干燥。,河北、辽宁、内蒙古,脾虚泄泻者禁服，孕妇慎服。,泻下药
《神农本草经》,内服：入丸、散，0.5～1g。外用：适量，研末调敷。,本品呈椭圆形、长圆柱形或连珠形，长1～5cm，直径0.5～2.5cm。表面类白色或黄白色，凹5处有棕色外皮残留。质脆，易折断，断面粉性，白色，木部微显放射状纹理；长圆柱状者纤维性较强。气微，味微甘而辣。,寒；苦；归肺、肾、大肠经；毒,泻水逐饮。用于水肿胀满，胸腹积水，痰饮积聚，气逆喘咳，二便不利。,Radix Kansui,块根,甘遂,块根,主田、甘泽、肿手花根,GAN SUI,,春季开花前或秋末茎叶枯萎后采挖。撞去外皮，晒干。,陕西、山西、河南,身体虚弱及孕妇禁服；中病即止，不可过剂；不宜与甘草同用。,泻下药
《神农本草经》,内服；煎汤，1.5～3g；研末，每次0.5～1g。外用：适量，研末调敷；或煎水洗。,本品常3～7朵簇生于短花轴上，基部有苞片1～2片，多脱落为单朵。单朵呈棒槌状，多弯曲，长1～1.7cm，直径约1.5mm；花被筒表面淡紫色或灰绿色，密被短柔毛，先端4裂，裂片淡紫色或黄棕色。质软。气微，味甘、微辛。,温；辛、苦；归肺、肾、大肠经；有毒,泻水逐饮，解毒杀虫。用于水肿胀满，胸腹积水，痰饮积聚，气逆喘咳，治疥癣秃疮，冻疮。,Flos Genkwa,花蕾,芫花,花蕾,芫、赤芫、芫条花、野丁香花,YUAN HUA,,春季花未开放时采收。除去杂质，干燥。,安徽、浙江、四川,体质虚弱者禁服；孕妇禁服；不宜与甘草同用。,泻下药
《神农本草经》,内服：煎汤，0.5～3g；或入丸、散。外用：适量，研末调敷，或煎水熏洗。,本品呈不整齐的长圆锥形，略弯曲，常有分枝，长10～20cm，直径1.5～4cm。表面灰棕色或棕褐色，粗糙，有纵皱纹、横向皮孔及支根痕。顶端略膨大，有多数茎基及芽痕。质坚硬，不易折断，断面类白色或淡黄色，纤维性。气微，味微苦涩。,寒；苦；归肺、脾、肾经；有毒,泻水逐饮。用于水肿胀满，胸腹积水，痰饮积聚，气逆喘咳，二便不利。,Radix Euphorbiae Pekinensis,根,京大戟,根,下马仙、大戟,JING DA JI,,秋、冬二季采挖。洗净，晒干。,江苏、四川、江西,体弱者慎服；虚寒水肿者及孕妇禁服。不宜与甘草同用。,泻下药
《神农本草经》,内服：煎汤，3～10g；或入丸、散。外用：适量，捣敷。,本品为横切或纵切的不规则块片，厚薄不等。外皮灰黄色或灰棕色。横切片弯曲不平，边缘皱缩，直径2～8cm，切面浅黄棕色或黄白色，木部隆起，形成数个突起的同心性环轮。纵切片弯曲或卷曲，长5～8cm，宽1～2cm，木部呈平行条状突起。质硬。气微，味稍甜，久嚼麻舌。,寒；苦；归肺、脾、肾、大肠经；有毒,逐水消肿，通利二便，解毒散结。用于水肿胀满，二便不通；外治痈肿疮毒。,Radix Phytolaccae,根,商陆,根,当陆、山萝卜、水萝卜、下山虎、牛大黄、野萝卜,SHANG LU,,秋季至次春采挖。除去须根及泥沙，切成块或片，晒干或阴干。,我国各地均产,脾胃虚弱及体虚水肿慎服，孕妇禁服。本品有毒，宜从小计量开始，且须饭后服。,泻下药
《神农本草经》,内服：煎汤，3～9g；或入丸、散。,本品似橘瓣状，长4～8mm，宽3～5mm。表面灰黑色或淡黄白色，背面有一条浅纵沟，腹面棱线的下端有一点状种脐，微凹。质硬，横切面可见淡黄色或黄绿色皱缩折叠的子叶，微显油性。无臭，味苦，有麻感。,寒；苦；归肺、肾、大肠经；毒,泻水通便，消痰涤饮，杀虫攻积。用于水肿胀满，二便不通，痰饮积聚，气逆喘咳，虫积腹痛，蛔虫、绦虫病。,Semen Pharbitidis,成熟种子,牵牛子,成熟种子,二丑、黑丑、白丑,QIAN NIU ZI,,11～12月间采挖。晒干，打下种子，除去杂质。,我国各地均产,孕妇及脾胃气虚者禁服。不宜多服、久服。不宜与巴豆、巴豆霜同用。,泻下药
《神农本草经》,内服：多入丸、散0.1～0.5g。外用：适量，捣膏涂敷，或以纱布包擦患处。,本品呈卵圆形，一般具三棱，长1.8～2.2cm，直径1.4～2cm。表面灰黄色或稍深，粗糙，有纵线6条，顶端平截，基部有果柄痕。破开果壳，可见3室，每室含种子1粒。种子呈略扁的椭圆形，长1.2～1.5cm，直径0.7～0.9cm，表面棕色或灰棕色，一端有小点状的种脐及种阜的疤痕，另端有微凹的合点，其间有隆起的种脊；外种皮薄而脆，内种皮呈白色薄膜；种仁黄白色，油质。无臭，味辛辣。,热；辛；归胃、大肠经；大毒,峻下积滞，逐水退肿，祛痰。外用蚀疮。,Fructus Crotonis,成熟果实,巴豆,成熟果实,江子、巴果、巴仁、巴米、芒子,BA DOU,,秋季果实成熟时采收。堆置2～3天，摊开，干燥。,四川、广西、云南,无寒实冷积、孕妇及体弱者禁服；不宜与牵牛子同用。,泻下药
《神农本草经》,内服：制霜入丸、散，0.5～2g。外用：适量，捣敷；或研末醋调涂。,本品呈椭圆形或倒卵形，长约5mm，直径约4mm。表面灰棕色或灰褐色，具不规则网状皱纹，网孔凹陷处灰黑色，形成细斑点。一侧有纵沟状种脊，顶端为突起的合点，下端为线形种脊，基部有类白色突起的种阜或具脱落后的疤痕。种皮薄脆，种仁白色或黄白色，富油质。气微，味辛。,温；辛；归大肠、肺经；毒,泻下消肿，破血消?。用于水肿，痰饮，积滞胀满，二便不通，血瘀经闭；外治顽癣，疣赘。,Semen Euphorbiae,成熟种子,千金子,成熟种子,千两金、续随子、联步,QIAN JIN ZI,,夏、秋二季果实成熟时采收。除去杂质，干燥。,河北、浙江、四川,孕妇及体弱便溏者禁服。,泻下药
《神农本草经》,内服：入丸剂，1.5～5g，生研或炒。外用：适量，捣烂敷，或调敷。,"本品呈椭圆形或卵形,稍扁,长0.9～1.8cm，宽0.5～1cm。表面光滑，有灰白色与黑褐色或黄棕色与红棕色相间的花斑纹。一面较平，一面较隆起，较平的一面有1条隆起的种脊；一端有灰白色或浅棕色突起的种阜。种皮薄而脆。胚乳肥厚，白色，富油性，子叶2，菲薄。无臭，味微苦辛。",平；甘、辛；归大肠、肺经；有毒,消肿拔毒，泻下通滞。用于痈疽肿毒，喉痹，瘰疬，大便燥结。,Semen Ricini,成熟种子,蓖麻子,成熟种子,蓖麻仁、大麻子、红大麻子,BI MA ZI,,秋季采摘成熟果实。晒干，除去果壳，收集种子。,我国各地均产,孕妇及便溏者禁服。,泻下药
《神农本草经》,内服：研末，10～15g，用药汁或开水冲；或入丸、散。外用：适量，水化涂洗；或研细吹喉。,本品为白色粉末。无臭，味咸。有引湿性。,寒；苦、咸；归胃、大肠经,泻热通便，润燥软坚，清火消肿。用于实热便秘，大便燥结，积滞腹痛；外治咽喉肿痛，口舌生疮，牙龈肿痛，目赤，痈肿，丹毒。,Natrii Sulfas Exsiccatus,芒硝风化干燥制得,玄明粉,芒硝风化干燥制得,白龙粉、风化硝,XUAN MING FEN,,全年均可制作。本品为芒硝经风化干燥制得。,河北、河南、山东,脾胃虚寒及孕妇禁服。,泻下药
《神农本草经》,内服：煎汤3～5g，或入丸、散。外用：适量。,干燥的果蒂，其果柄略弯曲，上有纵棱，微皱缩；连接果实的一端渐膨大，即花萼的残基。表面黄褐色，有时带有卷曲的果皮。质柔韧，不易折断。气微，味苦。,寒；苦；归脾、胃经；毒,吐风痰宿食，泻水湿停饮。用于痰热郁于胸中及宿食停滞于胃所致的多种病症；用于湿热黄疸，四肢浮肿，鼻塞，喉痹。,Calyx Cucumis,果蒂,瓜蒂,果蒂,甜瓜蒂、瓜丁、苦丁香、甜瓜把,GUA DI,,11～12月间采挖。切取果蒂，阴干。,我国各地均产,体虚、失血及上部无实邪者忌服。,涌吐药
《神农本草经》,内服：煎汤，6～9g；或入丸、散。外用：适量，研末掺或调敷。,本品呈长卵圆形或椭圆形，长1.5～3.5cm，直径1～1.5cm。表面红黄色或棕红色，具6条翅状纵棱，棱间常有1条明显的纵脉纹，并有分枝。顶端残存萼片，基部稍尖，有残留果梗。果皮薄而脆，略有光泽；内表面色较浅，有光泽，具2～3条隆起的假隔膜。种子多数，扁卵圆形，集结成团，深红色或红黄色，表面密具细小疣状突起。气微，味微酸而苦。,寒；苦；归心、肺、三焦经,泻火除烦，清热利尿，凉血解毒。用于热病心烦，黄疸尿赤，目赤肿痛，火毒疮疡；外治扭挫伤痛。,Fructus Gardeniae,成熟果实,栀子,成熟果实,山栀子、枝子、黄栀子、木丹,ZHI ZI,,9～11月果实成熟呈红黄色时采收。除去果梗及杂质，蒸至上汽或置沸水中略烫，取出，干燥。,长江以南均产,本品苦寒，不宜久服，凡脾胃虚寒便汤者慎服。,清热药
《神农本草经》,内服：煎汤，9～30g；熬膏或入丸、散。外用：适量，煎水洗或捣敷。,本品呈棒状，略扁，长1.5～8cm，直径0.8～1.5cm，淡棕色至棕红色。全穗由数轮至10数轮宿萼与苞片组成，每轮有对生苞片2片，呈扇形，先端尖尾状，脉纹明显，外表面有白毛。每一苞片有花3朵，花冠多已脱落，宿萼二唇形，内有小坚果4枚，卵圆形，棕色，尖端有白色突起。体轻。气稍味淡。,寒；苦、辛；归肝、胆经,清火，明目，散结，消肿。用于目赤肿痛，目珠夜痛，头痛眩晕，瘰疬，瘿瘤，肿痛；甲状腺肿大，淋巴结结核，乳腺增生，高血压。,Spica Prunellae,果穗,夏枯草,果穗,铁线夏枯、大头花、白花草、六月干、棒槌草,XIA KU CAO,,夏季果穗呈棕红色时采收。除去杂质，晒干。,江苏、浙江、安徽,脾胃气虚者慎服。,清热药
《神农本草经》,内服：煎汤，9～12g；或入丸、散。外用：适量，煎汤洗；或烧存性研末撒；或为末吹，烧烟熏鼻。,本品头状花序呈半球形，直径4～5mm；底部有苞片层层紧密排列，苞片淡黄绿色，有光泽，上部边缘密生白色短毛；花序顶部灰白色。揉碎花序，可见多数黑色花药及细小黄绿色未成熟的果实。花茎纤细，长短不一，直径不及lmm，淡黄绿色，有数条扭曲的棱线。质柔软。无臭，味淡。,平；辛、甘；归肺、肝经,疏散风热，明目，退翳。用于风热目赤，肿痛羞明，眼生翳膜，风热头痛。,Flos Eriocauli,干燥带花茎的头状花序,谷精草,干燥带花茎的头状花序,鱼眼草、珍珠草、天星草、佛顶珠、灌耳草,GU JING CAO,,秋季采收.将花序连同花茎拔出，晒干。,江苏、浙江、安徽,血虚目疾慎服。忌用铁器煎药。,清热药
《神农本草经》,内服：煎汤，6～15g；或入丸、散。,本品多为花蕾密聚的花序小分枝，呈不规则圆锥状，长1.5～3cm。表面灰黄色或棕黄色，密被茸毛。花蕾呈短棒状，上端略大，长0.3～1cm，直径0.1～0.2cm；花萼钟状，先端4齿裂；花冠筒状，与萼等长或稍长，先端4裂，裂片卵形；雄蕊4，着生在花冠管中部。质柔软。气微香，味微苦、辛。,微寒；甘；归肝经,清热养肝，明目退翳。用于目赤肿痛，多泪羞明，眼生翳膜，肝虚目暗，视物昏花。,Flos Buddlejae,花蕾,密蒙花,花蕾,小锦花、蒙花、黄饭花、鸡骨头花,MI MENG HUA,,春季花未开放时采收。除去杂质，干燥。,湖北、四川、陕西,目疾属阳虚内寒者慎服。,
《神农本草经》,内服：煎汤，5～15g；或入丸、散。外用：适量，研末调敷，或捣汁灌鼻。,本品呈扁圆形，少数呈圆肾形，直径1～1.5mm。表面黑色或红黑色，光亮，中间微隆起，侧边微凹处有种脐。种皮薄而脆。无臭，无味。,微寒；苦；归肝经,清泻，明目，退翳。用于肝热目赤，眼生翳膜，视物昏花，肝火眩晕。,Semen Celosiae,成熟种子,青葙子,成熟种子,草决明、牛尾花子、狗尾巴子,QING XIANG ZI,,秋季果实成熟时采收。干燥。,我国中部及南部均产,肝虚目疾不宜单用，瞳孔散大、青光眼患者禁服。,清热药
《神农本草经》,内服：煎汤，3～10g；或入丸、散。外用：适量，煎水洗或研末调敷。,本品呈圆锥形，扭曲，长8～25cm，直径1～3cm。表面棕黄色或深黄色，有稀疏的疣状细根痕，上部较粗糙，有扭曲的纵皱或不规则的网纹，下部有顺纹和细皱。质硬而脆，易折断，断面黄色，中心红棕色；老根中心枯朽状或中空，呈暗棕色或棕黑色。气微，味苦。,寒；苦；归肺、胆、脾、大肠、小肠经,清热燥湿，泻火解毒，止血，安胎。用于湿温、暑温胸闷呕恶，湿热痞满，泻痢，黄疸，肺热咳嗽，高热烦渴，血热吐衄，痈肿疮毒，胎动不安。,Radix Scutellariae,根,黄芩,根,腐肠、黄文、空肠、元芩、土金茶,HUANG QIN,,11～12月间采挖。除去须根及泥沙，晒后撞去粗皮，晒干。,河北、山西、内蒙古,脾胃虚寒，食少便溏者禁服。,清热药
《神农本草经》,内服：煎汤，1.5～3g；研末，每次0.3～0.6g；或入丸、散。外用：适量，研末调敷；或煎水洗、熬膏涂、浸汁用。,味连：多集聚成簇，常弯曲，形如鸡爪，单枝根茎长3～6cm，直径0.3～0.8cm。表面灰黄色或黄褐色，粗糙，有不规则结节状隆起、须根及须根残基，有的节间表面平滑如茎杆，习称“过桥”。上部多残留褐色鳞叶，顶端常留有残余的茎或叶柄。质硬，断面不整齐，皮部橙红色或暗棕色，木部鲜黄色或橙黄色，呈放射状排列，髓部有的中空。气微，味极苦。雅连：多为单枝，略呈圆柱形，微弯曲，长4～8cm，直径0.5～lcm。“过桥”较长。顶端有少许残茎。云连：弯曲呈钩状，多为单枝，较细小。,寒；苦；归心、脾、胃、肝、胆、大肠经,清热燥湿，泻火解毒。用于湿热痞满，呕吐吞酸，泻痢，黄疽，高热神昏，心火亢盛，心烦不寐，血热吐衄，目赤，牙痛，消渴，痈肿疗疮；外治湿疹，湿疮，耳道流脓。,Rhizoma Coptidis,根茎,黄连,根茎,王连、支连,HUANG LIAN,,秋季采挖。除去须根及泥沙，干燥，撞去残留须根。,湖北、四川、云南四川云南,胃虚呕恶，脾虚泄泻，五更肾泻者，均慎服。,清热药
《神农本草经》,内服：煎汤，3～12g；或入丸、散。外用：适量，研末调敷，或煎汤洗。,关黄柏：厚2～4mm。外表面黄绿色或淡棕黄色，较乎坦，有不规则的纵裂纹，皮孔痕小而少见，偶有灰白色的粗皮残留。内表面黄色或黄棕色。体轻，质较硬，断面鲜黄色或黄绿色。川黄柏：呈板片状或浅槽状，长宽不一，厚3～6mm。外表面黄褐色或黄棕色，平坦或具纵沟纹，有的可见皮孔痕及残存的灰褐色粗皮。内表面暗黄色或淡棕色，?具细密的纵棱纹。体轻，质硬，断面纤维性，呈裂片状分层，深黄色。气微，味甚苦，嚼之有黏性。,寒；苦；归肾、膀胱经,清热燥湿，泻火除蒸，解毒疗疮。用于湿热泻痢，黄疸，带下，热淋，脚气，骨蒸劳热，盗汗，遗精，疮疡肿毒，湿疹瘙痒。,Cortex Phellodendri Chinsis,除去栓皮的树皮,黄柏,除去栓皮的树皮,檗木、檗皮、黄檗,HUANG BAI,,剥取树皮。除去粗皮，晒干。,辽宁、吉林、河北川：湖北、四川四川,脾胃虚寒者禁服。,清热药
《神农本草经》,内服：煎汤，6～9g；或入丸、散。外用：适量，煎水洗，或研末调搽。,龙胆：根茎呈不规则的块状，长1～3cm，直径0.3～1cm；表面暗灰棕色或深棕色，上端有茎痕或残留茎基，周围和下端着生多数细长的根。根圆柱形，略扭曲，长10～20cm，直径0.2～0.5cm；表面淡黄色或黄棕色，上部多有显著的横皱纹，下部较细，有纵皱纹及支根痕。质脆，易折断，断面略平坦，皮部黄白色或淡黄棕色，木部色较浅，呈点状环列。气微，味甚苦。坚龙胆:表面无横皱纹，外皮膜质，易脱落，木部黄白色，易与皮部分离。,寒；苦；归肝、胆经,清热燥湿，泻肝胆火。用于湿热黄疸，阴肿阴痒，带下，强中，湿疹瘙痒，目赤，耳聋，胁痛，口苦，惊风抽搐。,Radix Gentianae,根,龙胆草,根,龙胆、苦龙胆草、地胆草、胆草、山龙胆、四叶胆、水龙胆,LONG DAN CAO,,春、秋二季采挖。洗净，干燥。,全国各地均产云南,脾胃虚弱及阳虚无火者禁服。,清热药
《神农本草经》,内服：煎汤，6～12g。外用：适量，煎水洗，或取汁点眼。,枝皮：呈卷筒状或槽状，长10～60cm，厚1.5～3mm。外表面灰白色、灰棕色至黑棕色或相间呈斑状，平坦或稍粗糙，并有灰白色圆点状皮孔及细斜皱纹，有的具分枝痕。内表面黄白色或棕色，平滑，质硬而脆，断面纤维性，黄白色。无臭，味苦。干皮：为长条状块片，厚3～6mm。外表面灰棕色，具龟裂状沟纹及红棕色圆形或横长的皮孔。质坚硬，纤维性较强。,寒；苦、涩；归肝、胆、大肠经,清热燥湿，收涩，明目。用于热痢，泄泻，赤白带下，目赤肿痛，目生翳膜。,Cortex Fraxini,茎皮,秦皮,茎皮,秦白皮、蜡树皮、苦榴皮,QIN PI,,春、秋二季剥取。晒干。,辽宁、吉林、河南,脾胃虚寒者禁服。,清热药
《神农本草经》,内服：煎汤，5～10g；或入丸、散。外用：适量，煎水熏洗；或研末撒；或浸酒搽。,本品呈长圆柱形，下部常有分枝，长10～30cm，直径1～2cm。表面灰棕色或棕黄色，具纵皱纹及横长皮孔，外皮薄，多破裂反卷，易剥落，剥落处显黄色，光滑。质硬，不易折断，断面纤维性；切片厚3～6mm；切面黄白色，具放射状纹理及裂隙，有的可见同心性环纹。气微，味极苦。,寒；苦；归心、肝、胃、大肠、膀胱经,清热燥湿，杀虫，利尿。用于热痢，便血，黄疸尿闭，赤白带下，阴肿阴痒，湿疹，湿疮，皮肤瘙痒，疥癣麻风；外治滴虫性阴道炎。,Radix Sophorae Fiavescentis,根,苦参,根,苦骨、川参、凤凰爪、牛参,KU SHEN,,春、秋二季采挖。除去根头及小支根，洗净，干燥，或趁鲜切片，干燥。,全国各地均产,本品苦寒败胃损肾，脾胃虚寒、肾虚无热者禁服。不宜与藜芦同用。,清热药
《神农本草经》,内服：煎汤，6～12g。外用：适量，熬膏或烧灰研末调涂。,干燥叶多呈卷筒状。展开后，叶片为披针形，长60～120mm，宽10～15mm。先端尖锐，基部圆形。叶柄长6～10mm。上面灰绿色，光滑，下面粗糙有毛，主脉较粗，两恻细脉8～16条，边缘的一侧有细锯齿。质脆而有弹性。气弱，味微苦。,寒；苦；归心、胃、小肠经,清热，明目，利窍，解毒，杀虫。用于消渴，烦热不眠，目痛，口疮，失音，烫火伤。,Folium Pleioblasti,嫩叶,苦竹叶,嫩叶,,KU ZHU YE,,夏、秋采摘。晒干,浙江、江西、江苏,,清热药
